language,aliases,filenames,extensions
Antlers,,,.antlers.html; .antlers.php; .antlers.xml
API Blueprint,,,.apib
Astro,,,.astro
BibTeX,,,.bib; .bibtex
Bikeshed,,,.bs
Blade,,,.blade; .blade.php
Bru,,,.bru
Closure Templates,soy,,.soy
Cooklang,,,.cook
CSS,,,.css
D2,d2lang,,.d2
Ecmarkup,ecmarkdown,,.html
Edge,,,.edge
EJS,,,.ejs; .ect; .ejs.t; .jst
Genero per,,,.per
Go Template,gotmpl,_helpers.tpl,.gohtml; .gotmpl; .html.tmpl; .tmpl; .tpl
Haml,,,.haml; .haml.deface
Handlebars,hbs; htmlbars,,.handlebars; .hbs
HTML,xhtml,,.html; .hta; .htm; .html.hl; .inc; .xht; .xhtml
HTML+ECR,ecr,,.ecr
HTML+EEX,eex; heex; leex,,.html.eex; .heex; .leex
HTML+ERB,erb; rhtml; html+ruby,,.erb; .erb.deface; .rhtml
HTML+PHP,,,.phtml
HTML+Razor,razor,,.cshtml; .razor
Jinja,django; html+django; html+jinja; htmldjango,,.jinja; .j2; .jinja2
Jupyter Notebook,IPython Notebook,Notebook,.ipynb
Kit,,,.kit
kvlang,,,.kv
Latte,,,.latte
Less,less-css,,.less
Liquid,,,.liquid
Marko,markojs,,.marko
Mask,,,.mask
mdsvex,,,.svx
MDX,,,.mdx
Mermaid,mermaid example,,.mmd; .mermaid
MTML,,,.mtml
Mustache,,,.mustache
Nunjucks,njk,,.njk
Pic,pikchr,,.pic; .chem
PostCSS,,,.pcss; .postcss
PostScript,postscr,,.ps; .eps; .epsi; .pfa
Pug,,,.jade; .pug
RAML,,,.raml
Rich Text Format,,,.rtf
Riot,,,.riot
Roff,groff; man; manpage; man page; man-page; mdoc; nroff; troff,eqnrc; mmn; mmt; troffrc; troffrc-end,.roff; .1; .1in; .1m; .1x; .2; .3; .3in; .3m; .3p; .3pm; .3qt; .3x; .4; .5; .6; .7; .8; .9; .l; .man; .mdoc; .me; .ms; .n; .nr; .rno; .tmac
Roff Manpage,,,.1; .1in; .1m; .1x; .2; .3; .3in; .3m; .3p; .3pm; .3qt; .3x; .4; .5; .6; .7; .8; .9; .man; .mdoc
RUNOFF,,,.rnh; .rno
Sass,,,.sass
Scaml,,,.scaml
SCSS,,,.scss
Slim,,,.slim
Slint,,,.slint
SRecode Template,,,.srt
StringTemplate,,,.st
Stylus,,,.styl
SugarSS,,,.sss
Svelte,,,.svelte
Tea,,,.tea
templ,,,.templ
Terraform Template,,,.tftpl
TeX,latex,,.tex; .aux; .bbx; .cbx; .cls; .dtx; .ins; .lbx; .ltx; .mkii; .mkiv; .mkvi; .sty; .toc
Twig,,,.twig
Velocity Template Language,vtl; velocity,,.vtl
Vento,,,.vto
Vim Snippet,SnipMate; UltiSnip; UltiSnips; NeoSnippet,,.snip; .snippet; .snippets
Vue,,,.vue
YASnippet,snippet; yas,,.yasnippet
